Sample,Ayllu,Cemetery,Individual,Sex,Collagen yield (wt%),Apatite yield (wt%),wt% C,wt% N,"Atomic
 C:N","δ13Cco
 (‰)","δ15Nco
 (‰)","δ13Cap
 (‰)","Δ13Cap-co
 (‰)","C3
 mean",C3 sd,"C4/CAM
 mean","C4/ CAM
 sd",Bean mean,Bean sd,Terrestrial meat mean,Terrestrial meat sd
I23,Quitor,Quitor 5,"2179, 9763, #111",M,2.9,64.5,17.9,6.3,3.3,-10.9,10.8,-5.3,5.6,13.8%,9.1%,48.7%,12.4%,16.1%,11.6%,21.5%,12.8%
I30,Quitor,Quitor 5,"2212, 9658, #99",F,8.6,61.3,32.7,11.7,3.3,-12.5,10.7,-7.9,4.6,23.8%,14.1%,27.0%,13.9%,22.9%,13.1%,26.3%,16.4%
H103,Quitor,Quitor 6 Tard´ıo,"222/223, #165, T17",F,21.2,37.4,36.1,13.3,3.2,-13.2,10.3,-7.3,5.9,19.7%,12.8%,40.5%,11.9%,24.0%,13.3%,15.8%,11.2%
I34,Quitor,Quitor 5,"2228, 9773, #103",,4.7,62.2,19.4,6.7,3.4,-15.6,9.2,-10.2,5.3,34.3%,21.0%,13.7%,8.1%,30.8%,15.7%,21.2%,13.4%
I21,Quitor,Quitor 5,"2245, 11.485, #109",M,18.9,44.1,38.1,13.6,3.3,-11.5,10.2,-6.3,5.2,13.0%,9.8%,42.4%,12.3%,18.0%,10.2%,26.7%,16.1%
I22,Quitor,Quitor 5,"3066, 9.754, #98",F,6.3,63.0,30.0,10.7,3.3,-16.6,9.3,-12.8,3.8,31.2%,19.9%,6.5%,5.2%,45.8%,19.1%,16.5%,11.4%
H111,Quitor,Quitor 8,"3146, 12.281, #230",F,3.4,64.9,25.2,8.8,3.4,-16.4,10.3,-9.8,6.6,36.1%,17.7%,15.0%,7.8%,28.2%,15.9%,20.8%,13.6%
I2,Quitor,Quitor 8,"3202, 12.294, #233",F,2.9,58.1,26.3,9.2,3.3,-16.5,10.5,-12.3,4.2,38.9%,20.1%,10.1%,7.3%,30.8%,18.6%,20.2%,12.4%
H113,Quitor,Quitor 8,"3227, s/n, #229",,4.3,65.3,27.1,9.4,3.3,-15.8,10.9,-11.3,4.5,44.6%,20.6%,11.2%,8.1%,24.1%,17.3%,20.1%,12.6%
H91,Quitor,Quitor 9,"3236, #223",M,14.3,47.2,38.9,14.2,3.2,-11.4,12.5,-6.0,5.4,22.8%,13.9%,42.7%,12.8%,13.5%,9.0%,21.0%,15.6%
H90,Quitor,Quitor 9,"3237, #221",M,21.5,41.0,40.2,14.8,3.2,-11.5,12.3,-7.4,4.0,21.5%,12.1%,33.7%,12.2%,14.8%,10.5%,30.0%,15.8%
H92,Quitor,Quitor 9,"3249, #222",M,17.4,40.3,39.2,14.6,3.1,-11.7,11.2,-5.9,5.8,16.8%,9.6%,47.9%,13.4%,14.5%,9.0%,20.8%,13.1%
H88,Quitor,Quitor 9,"3250, #220",F,2.4,38.7,18.8,6.4,3.4,-13.7,12.1,-8.2,5.5,25.9%,17.1%,25.4%,10.9%,22.1%,13.8%,26.6%,16.5%
I31,Quitor,Quitor 5,"3368, 9697, #105",F,2.6,67.9,16.4,5.7,3.4,-16.5,8.6,-12.5,4.0,38.3%,23.6%,7.9%,5.6%,39.7%,21.4%,14.1%,8.3%
I35,Quitor,Quitor 5,"3370(80?), 9727, #108",,21.3,36.3,39.4,14.4,3.2,-15.9,9.7,-11.8,4.2,37.1%,19.5%,7.7%,6.5%,35.6%,18.9%,19.7%,12.9%
I32,Quitor,Quitor 5,"3397, 9659, #110",F,11.1,57.1,,,,-17.3,7.5,-12.5,4.7,34.6%,19.9%,10.5%,6.5%,45.3%,20.4%,9.7%,7.7%
I45,Quitor,Quitor 1,"3443, #281",,7.9,59.4,33.1,12.7,3.0,-13.4,11.1,-7.1,6.3,19.7%,12.5%,33.5%,11.5%,20.6%,11.6%,26.2%,15.4%
I43,Quitor,Quitor 1,"3454, 10612, #282",,14.9,50.7,34.1,12.2,3.3,-13.2,11.0,-7.8,5.5,19.8%,15.0%,26.6%,11.3%,24.1%,13.4%,29.5%,14.1%
I42,Quitor,Quitor 1,"3486, #280",,16.5,48.7,43.3,15.5,3.3,-12.2,11.7,-7.4,4.7,17.1%,12.0%,29.4%,13.3%,22.0%,10.8%,31.6%,17.1%
I44,Quitor,Quitor 1,"3487, 10603, #284",,6.3,65.5,22.3,7.6,3.4,-15.2,13.0,-9.3,5.8,43.7%,13.8%,22.6%,11.9%,13.9%,11.3%,19.8%,14.0%
I47,Quitor,Quitor 1,"3493, 10605, #283",,22.8,43.6,38.2,13.9,3.2,-14.0,9.5,-7.4,6.6,17.7%,13.3%,28.8%,10.1%,32.3%,16.3%,21.1%,12.9%
L156,Quitor,Quitor 6 Tard´ıo,"407, #105, T10",,21.7,48.9,42.5,15.5,3.2,-13.7,11.6,-8.3,5.3,26.0%,15.0%,23.1%,11.9%,20.6%,13.6%,30.4%,17.0%
L155,Quitor,Quitor 6 Tard´ıo,"408, #877, T28",F,19.8,48.6,42.3,15.5,3.2,-15.9,9.7,-10.5,5.3,28.9%,17.7%,15.6%,9.3%,34.1%,16.4%,21.4%,12.5%
L157,Quitor,Quitor 6 Tard´ıo,"411, #425/426, T37",M,2.7,70.5,32.8,10.9,3.5,-14.6,11.6,-8.3,6.2,19.2%,12.4%,25.0%,13.0%,28.7%,14.7%,27.1%,13.6%
L158,Quitor,Quitor 6 Tard´ıo,"412, #596, T46",F,22.2,46.1,42.8,15.6,3.2,-14.2,11.3,-8.7,5.6,26.1%,14.9%,28.2%,12.5%,24.0%,14.0%,21.8%,15.3%
H95,Quitor,Quitor 6 Tard´ıo,"469/470, #158, T14",F,19.2,33.6,39.2,14.5,3.2,-13.6,10.8,-7.8,5.9,25.9%,15.4%,25.2%,10.9%,22.8%,13.0%,26.1%,16.4%
H106,Quitor,Quitor 6 Tard´ıo,"667, #166, T52",F,1.7,71.1,10.9,3.5,3.6,-13.7,10.9,-7.9,5.8,21.6%,15.2%,31.1%,13.9%,24.8%,12.8%,22.4%,13.4%
H107,Quitor,Quitor 6 Tard´ıo,"685, #161, T54",F,7.0,52.1,31.7,11.7,3.2,-11.2,11.5,-6.2,5.0,12.7%,8.9%,43.9%,14.3%,17.9%,10.9%,25.5%,17.2%
H99,Quitor,Quitor 6 Tard´ıo,"694, #162, T55",,14.2,45.3,35.6,13.1,3.2,-13.0,9.9,-7.7,5.3,19.5%,14.4%,35.9%,10.1%,28.4%,15.4%,16.1%,12.2%
H105,Quitor,Quitor 6 Tard´ıo,"80/81, #163, T8",F,4.8,65.9,28.3,9.9,3.3,-14.4,10.7,-8.7,5.7,24.9%,15.7%,23.3%,11.2%,27.8%,13.6%,24.0%,14.2%
H96,Quitor,Quitor 6 Tard´ıo,"871, #168, T27",M,19.3,36.8,38.0,13.6,3.3,-15.9,10.8,-10.3,5.6,32.6%,15.1%,10.6%,6.8%,30.7%,15.2%,26.1%,13.8%
H100,Quitor,Quitor 6 Tard´ıo,"876, #170, T28",,21.0,36.8,38.0,13.9,3.2,-15.6,9.3,-8.8,6.8,21.7%,14.5%,20.0%,10.5%,33.7%,17.6%,24.7%,13.2%
H101,Quitor,Quitor 6 Tard´ıo,"877, #167, T28",F,20.4,40.4,37.2,13.6,3.2,-15.2,9.7,-10.1,5.1,26.2%,16.2%,19.7%,9.2%,35.9%,19.2%,18.3%,12.3%
H97,Quitor,Quitor 6 Tard´ıo,"88/89, #169, T9",F,8.3,55.2,32.2,11.6,3.2,-13.9,10.5,-8.5,5.4,25.3%,16.5%,27.5%,11.9%,28.0%,14.6%,19.2%,13.3%
H98,Quitor,Quitor 6 Tard´ıo,"943, #160, T38",F,3.8,60.3,25.5,8.8,3.4,-13.7,11.4,-8.0,5.7,24.8%,13.0%,27.8%,12.6%,22.0%,14.0%,25.4%,12.9%
L103,Solcor,Solcor Plaza,611,F,22.4,40.4,43.8,15.2,3.4,-12.5,11.9,-7.0,5.4,22.6%,13.8%,36.8%,11.7%,17.1%,10.7%,23.5%,14.6%
L100,Solcor,Solcor Plaza,621,M,17.6,49.2,44.3,15.5,3.3,-15.5,12.9,-11.2,4.3,37.8%,23.5%,10.7%,7.8%,26.2%,16.9%,25.3%,15.1%
L106,Solcor,Solcor Plaza,625,M,20.5,42.5,43.9,15.2,3.4,-16.8,10.9,-10.2,6.6,34.5%,17.0%,17.2%,9.4%,32.6%,16.5%,15.6%,12.2%
L104,Solcor,Solcor Plaza,759,F,5.9,58.3,37.0,12.5,3.5,-13.1,12.8,-6.8,6.3,19.1%,10.7%,40.5%,12.6%,15.2%,9.0%,25.2%,16.3%
L105,Solcor,Solcor Plaza,1242,M,18.4,47.0,42.8,14.6,3.4,-13.6,12.3,-8.7,4.9,27.9%,17.9%,18.9%,9.6%,24.9%,14.6%,28.3%,13.7%
L99,Solcor,Solcor Plaza,1249,M,17.3,48.8,42.8,14.9,3.4,-14.2,13.0,-8.3,5.9,28.1%,15.0%,23.0%,10.3%,19.9%,14.6%,29.0%,14.9%
L98,Solcor,Solcor Plaza,1283,M,20.5,41.7,43.1,14.6,3.4,-14.5,11.7,-9.3,5.3,34.3%,16.8%,22.9%,12.5%,21.2%,15.5%,21.6%,15.4%
L101,Solcor,Solcor Plaza,1398,F,17.0,55.7,43.2,15.2,3.3,-14.9,11.5,-9.5,5.4,26.8%,14.8%,15.6%,9.8%,31.8%,15.8%,25.7%,12.0%
L61,Solcor,Solcor 3,1737,F,19.6,50.4,45.1,16.0,3.3,-12.9,11.7,-6.6,6.3,16.6%,10.2%,35.6%,12.5%,20.0%,12.8%,27.8%,15.8%
L107,Solcor,Solcor Plaza,2938,F,21.3,31.7,45.7,15.8,3.4,-13.5,12.0,-7.4,6.1,22.5%,13.6%,34.1%,11.7%,21.9%,11.6%,21.6%,14.9%
L102,Solcor,Solcor Plaza,2940,F,18.5,37.4,43.4,15.1,3.4,-14.2,11.5,-8.6,5.5,25.9%,14.0%,23.2%,12.8%,23.2%,13.8%,27.8%,14.6%
L115,Solcor,Solcor Nueva Poblacio´n,4778,,20.7,48.8,46.0,16.3,3.3,-14.3,11.5,-8.0,6.3,28.5%,15.4%,28.2%,11.5%,18.6%,11.6%,24.7%,13.9%
L117,Solcor,Solcor Nueva Poblacio´n,4789,M,21.8,47.9,44.3,15.8,3.3,-16.0,11.8,-10.5,5.5,36.2%,19.9%,11.8%,7.3%,29.0%,18.5%,23.0%,13.5%
L116,Solcor,Solcor Nueva Poblacio´n,4791,M,22.3,44.0,44.7,15.7,3.3,-13.6,11.2,-8.2,5.4,20.0%,15.0%,26.7%,12.7%,29.6%,14.3%,23.8%,14.9%
G73,Solcor,Solcor Plaza,"1030, 11.197, #77",F,1.3,52.6,17.5,5.9,3.4,-11.6,12.4,-6.8,4.8,18.0%,12.9%,35.1%,13.7%,17.7%,11.8%,29.3%,15.0%
K70,Solcor,Solcor Plaza,"1241 (11361), #330",,20.3,33.6,44.1,16.0,3.2,-15.0,11.4,-8.7,6.3,25.5%,13.9%,21.7%,11.2%,25.2%,14.5%,27.5%,16.2%
G78,Solcor,Solcor Plaza,"1241, 11.361, #82",,21.6,38.3,42.2,15.8,3.1,-14.7,12.2,-9.5,5.2,31.1%,16.4%,13.9%,7.7%,25.2%,15.4%,29.8%,12.4%
K69,Solcor,Solcor Plaza,"1243 (11351), #329",,20.4,35.1,43.9,15.9,3.2,-14.8,11.7,-8.1,6.7,28.2%,18.1%,27.3%,10.1%,23.5%,14.2%,21.1%,13.2%
G70,Solcor,Solcor Plaza,"1244, 11.195, #74",,18.3,49.6,42.5,15.9,3.1,-13.1,11.6,-8.0,5.1,25.9%,14.3%,25.4%,10.0%,21.5%,13.5%,27.2%,13.4%
K68,Solcor,Solcor Plaza,"1246 (11353), #328",F,20.3,44.4,44.7,16.1,3.2,-13.5,11.7,-7.1,6.4,23.3%,15.9%,34.5%,12.3%,23.3%,13.9%,18.9%,12.4%
G75,Solcor,Solcor Plaza,"1286, 11.202, #79",M,10.3,62.8,37.9,14.1,3.1,-14.3,12.4,-10.3,4.0,37.5%,17.0%,13.8%,8.3%,20.8%,13.6%,28.0%,13.0%
K66,Solcor,Solcor Plaza,"1317 (11215), #326",,19.5,34.6,43.7,15.8,3.2,-12.9,11.5,-7.2,5.7,20.2%,11.6%,33.0%,12.1%,19.6%,11.3%,27.3%,14.8%
G71,Solcor,Solcor Plaza,"1377, 11.365, #75",M,19.1,53.1,42.0,15.8,3.1,-12.4,13.0,-7.5,4.9,20.0%,12.9%,36.0%,12.6%,14.9%,10.4%,29.1%,15.2%
K67,Solcor,Solcor Plaza,"1379 (11220), #327",M,20.3,37.3,44.1,16.0,3.2,-12.0,12.4,-5.5,6.5,15.8%,11.1%,35.7%,14.6%,14.6%,9.5%,33.8%,15.9%
G69,Solcor,Solcor Plaza,"1381, 11.356, #73",,13.8,56.7,38.9,14.4,3.2,-13.3,12.7,-7.4,5.8,23.8%,13.2%,25.8%,14.2%,18.7%,12.4%,31.7%,16.4%
G74,Solcor,Solcor Plaza,"1386, 11.379, #78",,16.8,40.4,41.5,15.6,3.1,-11.3,13.4,-5.7,5.6,16.4%,11.0%,40.0%,14.4%,13.0%,8.9%,30.6%,16.2%
G76,Solcor,Solcor Plaza,"1391, 11.218, #80",,21.4,38.0,42.6,16.0,3.1,-13.8,14.5,-9.0,4.8,24.6%,14.6%,22.3%,10.3%,19.7%,13.8%,33.3%,14.7%
G72,Solcor,Solcor Plaza,"1394, 11.211, #76",F,16.4,54.0,42.0,15.7,3.1,-13.8,11.9,-8.9,4.9,28.2%,14.8%,23.5%,9.6%,23.8%,13.9%,24.4%,14.3%
G77,Solcor,Solcor Plaza,"5093, 11.385, #81",,15.0,51.3,38.7,14.4,3.1,-13.6,10.8,-8.6,4.9,28.7%,16.1%,24.2%,12.7%,24.5%,16.0%,22.7%,14.5%
G68,Solcor,Solcor Plaza,"629, 11.367, #72",F,19.8,45.4,42.9,16.0,3.1,-14.0,11.3,-8.8,5.2,27.3%,13.8%,24.2%,11.2%,27.7%,14.6%,20.8%,14.3%
L55,Solcor,Solcor 3,"T. 103, 3599",M,18.3,52.4,45.3,15.7,3.4,-12.7,11.3,-6.5,6.2,17.0%,11.1%,36.2%,12.0%,20.7%,11.9%,26.0%,14.3%
L64,Solcor,Solcor 3,"T. 106, 13177",F,19.4,53.8,43.2,15.7,3.2,-14.7,10.5,-9.5,5.2,25.8%,16.9%,19.3%,10.6%,28.6%,16.1%,26.3%,12.2%
L72,Solcor,Solcor 3,"T. 111, 3604",M,19.7,52.3,42.2,15.1,3.3,-12.7,12.5,-7.2,5.5,26.8%,14.6%,29.7%,12.2%,16.8%,11.4%,26.8%,14.4%
L63,Solcor,Solcor 3,"T. 111, 3605",F,20.7,52.0,43.7,15.6,3.3,-13.1,12.0,-7.3,5.7,21.2%,13.7%,32.6%,15.1%,19.3%,10.8%,26.9%,17.3%
L66,Solcor,Solcor 3,"T. 111, 3606",F,18.2,51.5,47.9,17.1,3.3,-13.5,11.8,-8.1,5.3,24.3%,16.7%,23.5%,13.4%,23.8%,14.4%,28.4%,15.7%
L57,Solcor,Solcor 3,"T. 113, 13120",F,23.2,46.1,41.2,14.3,3.4,-14.2,10.8,-9.1,5.1,26.6%,15.5%,23.7%,8.5%,29.3%,15.2%,20.4%,12.8%
L67,Solcor,Solcor 3,"T. 115, 3609",F,22.8,41.2,52.4,18.9,3.2,-15.0,11.0,-9.4,5.6,25.9%,13.9%,17.0%,8.9%,27.0%,13.7%,30.2%,13.0%
L62,Solcor,Solcor 3,"T. 115, 3610",F,5.7,53.3,36.8,12.4,3.5,-14.6,13.4,-8.9,5.7,34.2%,16.1%,22.1%,9.9%,18.8%,13.1%,24.9%,14.7%
L58,Solcor,Solcor 3,"T. 115, 3611",F,21.0,49.3,44.4,15.7,3.3,-14.1,10.5,-9.6,4.5,29.9%,16.0%,19.4%,9.2%,27.4%,15.2%,23.3%,11.9%
L74,Solcor,Solcor 3,"T. 116, 13126",M,20.3,46.3,44.9,16.1,3.3,-16.1,11.2,-11.3,4.8,43.3%,18.1%,11.8%,6.9%,25.0%,15.6%,20.0%,11.3%
L78,Solcor,Solcor 3,T. 126,F,15.8,44.8,42.9,15.3,3.3,-14.0,10.4,-8.7,5.4,26.9%,17.2%,25.0%,11.1%,26.4%,13.8%,21.7%,11.6%
L56,Solcor,Solcor 3,T. 139 indiv. 1,,14.7,48.9,42.3,15.8,3.1,-16.1,10.9,-10.2,5.9,33.4%,22.9%,12.4%,8.4%,39.1%,18.8%,15.0%,10.8%
L60,Solcor,Solcor 3,"T. 27, 1628",F,20.3,54.2,46.0,16.2,3.3,-15.9,11.0,-10.6,5.3,29.7%,17.8%,15.6%,8.6%,34.3%,18.4%,20.4%,12.0%
L68,Solcor,Solcor 3,"T. 29, 1666",M,20.2,54.4,41.3,14.7,3.3,-15.7,10.7,-10.6,5.1,35.2%,18.8%,11.9%,7.5%,30.0%,19.0%,22.9%,13.9%
L59,Solcor,Solcor 3,"T. 30, 1683",F,18.8,50.9,47.4,16.9,3.3,-15.3,10.5,-10.0,5.3,25.7%,15.5%,17.5%,10.9%,29.6%,15.6%,27.2%,14.6%
L75,Solcor,Solcor 3,"T. 6, 1080",F,17.7,44.1,37.2,13.2,3.3,-14.9,11.7,-11.0,3.9,32.4%,20.4%,14.2%,8.9%,31.1%,18.1%,22.3%,13.0%
L65,Solcor,Solcor 3,"T. 75, 2607",F,19.3,53.0,43.9,15.8,3.2,-15.3,11.2,-9.8,5.5,32.2%,20.0%,18.5%,9.6%,27.4%,17.5%,21.9%,14.3%
L73,Solcor,Solcor 3,"T. 78, 2699",M,5.2,53.7,40.2,13.9,3.4,-14.4,11.2,-8.8,5.6,18.2%,12.9%,25.0%,9.7%,29.4%,14.3%,27.4%,14.2%
L77,Solcor,Solcor 3,"T. 79, 2762",F,8.3,54.0,38.6,13.8,3.3,-14.7,11.8,-9.4,5.3,29.8%,17.7%,21.6%,10.7%,25.5%,15.0%,23.1%,13.0%
L76,Solcor,Solcor 3,"T. 98, 3593a",F,16.6,38.4,41.6,14.7,3.3,-12.6,12.2,-7.5,5.1,26.3%,12.6%,32.4%,13.0%,17.4%,12.2%,23.8%,14.8%
G91,Solcor,Solcor 3,"T101, 3597, #190",M,19.1,49.1,42.2,15.3,3.2,-11.5,10.9,-6.6,4.9,16.6%,12.5%,37.2%,13.5%,19.2%,11.2%,27.0%,16.4%
H12,Solcor,Solcor 3,"T107, 13.118, #185",M,20.1,45.1,42.7,15.4,3.2,-13.9,11.5,-8.7,5.2,27.2%,15.1%,27.2%,14.0%,23.9%,13.6%,21.7%,13.9%
G88,Solcor,Solcor 3,"T112, 13.111, #183",M,18.8,44.2,42.5,15.4,3.2,-13.9,11.4,-9.2,4.7,30.7%,19.0%,21.7%,11.2%,22.3%,15.3%,25.3%,15.1%
G83,Solcor,Solcor 3,"T117, 13.156, #208",M,19.7,45.7,44.4,16.1,3.2,-13.3,11.0,-7.6,5.7,15.9%,11.6%,32.0%,12.9%,24.0%,13.1%,28.1%,15.3%
H13,Solcor,Solcor 3,"T132, s/n, #188",M,18.4,44.7,43.4,15.6,3.2,-11.5,10.9,-5.8,5.7,18.0%,10.2%,36.1%,15.3%,17.3%,10.2%,28.7%,17.5%
G89,Solcor,Solcor 3,"T16, 3061, #177",F,21.6,42.7,44.7,16.2,3.2,-15.5,11.7,-10.6,4.9,34.1%,19.8%,16.0%,9.0%,29.0%,17.0%,20.9%,12.7%
H7,Solcor,Solcor 3,"T27, 1629, #191",M,20.4,54.9,42.6,15.4,3.2,-15.1,12.0,-11.3,3.9,41.0%,18.2%,11.8%,7.0%,25.3%,19.4%,21.9%,12.3%
H9,Solcor,Solcor 3,"T30, 1683, #192",F,21.4,48.3,43.5,15.9,3.2,-14.7,10.6,-9.9,4.8,33.0%,18.9%,17.7%,10.2%,29.7%,18.2%,19.7%,14.1%
G90,Solcor,Solcor 3,"T44, 1871, #186",,21.9,36.4,44.3,16.1,3.2,-11.2,15.0,-7.9,3.3,23.0%,12.7%,30.1%,14.8%,14.1%,10.3%,32.8%,16.6%
G85,Solcor,Solcor 3,"T54, 2071, #189",M,4.3,55.2,30.4,10.8,3.3,-16.5,9.6,-11.6,4.9,28.7%,18.8%,11.2%,7.6%,42.5%,20.7%,17.6%,11.9%
G86,Solcor,Solcor 3,"T60, 2341, #182",F,20.5,48.3,43.9,15.9,3.2,-14.6,11.5,-9.5,5.1,29.7%,15.7%,19.4%,10.1%,26.7%,15.2%,24.2%,13.7%
G84,Solcor,Solcor 3,"T60, 2342, #184",M,17.6,52.5,42.6,15.5,3.2,-15.9,9.7,-11.9,3.9,32.5%,19.8%,10.2%,6.7%,36.8%,18.8%,20.6%,11.5%
G82,Solcor,Solcor 3,"T70, 2513, #181",F,20.5,50.9,44.3,16.0,3.2,-14.4,11.4,-9.0,5.4,27.1%,15.1%,18.5%,9.6%,26.3%,14.7%,28.2%,13.0%
H10,Solcor,Solcor 3,"T70, 2514, #180",M,17.3,52.0,44.3,16.1,3.2,-14.5,12.8,-10.5,4.0,35.7%,18.3%,11.0%,7.9%,25.8%,15.8%,27.6%,14.6%
G81,Solcor,Solcor 3,"T8, 1161A, #176",F,14.3,48.9,43.0,15.6,3.2,-14.7,10.3,-9.8,4.9,29.3%,17.7%,16.2%,8.8%,27.7%,15.6%,26.8%,11.4%
H8,Solcor,Solcor 3,"T93, 3.083, #187",M,1.5,70.6,17.4,5.7,3.6,-11.4,12.1,-5.8,5.5,15.7%,10.6%,41.8%,14.1%,20.3%,11.9%,22.2%,15.8%
J81,Tchecar,Tchecar,680,F,15.3,50.3,43.6,15.7,3.2,-14.0,10.7,-8.8,5.2,24.1%,15.0%,24.4%,12.9%,28.1%,13.9%,23.4%,16.0%
J80,Tchecar,Tchecar,686,,1.5,59.3,37.4,12.4,3.5,-15.9,11.4,-9.8,6.1,34.7%,20.6%,18.6%,10.7%,26.9%,17.1%,19.8%,13.5%
J82,Tchecar,Tchecar,807,,20.4,39.0,44.5,16.1,3.2,-13.4,14.2,-9.0,4.4,33.1%,16.6%,17.2%,8.9%,16.9%,13.3%,32.7%,14.7%
J79,Tchecar,Tchecar,815,F,17.7,39.3,42.1,15.1,3.3,-14.3,11.2,-9.6,4.7,27.2%,16.5%,18.1%,9.7%,28.5%,15.2%,26.2%,17.0%
J70,Tchecar,Tchecar,1158,,9.7,54.3,42.8,15.2,3.3,-13.9,12.0,-7.0,6.8,23.0%,12.5%,31.1%,13.7%,17.2%,10.7%,28.7%,16.0%
I88,Tchecar,Tchecar,"1105, 11257, #136",F,15.6,61.7,25.8,8.9,3.4,-13.8,11.7,-7.7,6.1,26.6%,16.3%,29.2%,14.3%,20.3%,12.2%,23.8%,17.0%
I81,Tchecar,Tchecar,1151 (11.130) #129,M,16.8,37.6,43.4,15.8,3.2,-13.9,11.0,-9.5,4.4,27.1%,16.7%,21.6%,10.6%,25.6%,13.9%,25.7%,12.4%
I90,Tchecar,Tchecar,"1155, 11304, #140",F,9.1,50.1,40.6,14.4,3.3,-14.5,11.3,-8.8,5.7,31.8%,16.4%,24.1%,12.0%,21.9%,14.9%,22.1%,13.6%
I89,Tchecar,Tchecar,"1158, S/N, #139",,9.9,47.5,39.7,14.0,3.3,-14.2,12.2,-7.8,6.4,23.9%,15.1%,28.1%,12.0%,23.9%,16.8%,24.1%,14.6%
I84,Tchecar,Tchecar,1161 (11.247) #132,F,14.3,55.2,40.9,14.8,3.2,-12.9,12.0,-6.4,6.6,15.9%,12.2%,37.3%,10.4%,21.8%,12.5%,25.1%,14.6%
I79,Tchecar,Tchecar,"1173, 11283, #127",M,18.1,62.6,39.1,13.9,3.3,-14.7,12.0,-9.3,5.4,31.6%,18.9%,17.2%,9.6%,25.0%,15.6%,26.3%,15.7%
I87,Tchecar,Tchecar,"1222, 11143, #135",F,21.3,49.6,41.0,14.7,3.2,-14.6,11.8,-9.1,5.4,35.5%,18.7%,19.8%,11.1%,22.3%,16.3%,22.4%,11.6%
I94,Tchecar,Tchecar,"666, 11308, #145",F,20.1,40.9,43.1,15.6,3.2,-14.3,11.7,-8.6,5.7,22.8%,13.2%,23.8%,11.5%,25.1%,13.3%,28.2%,15.5%
I92,Tchecar,Tchecar,"678, 11160, #143",M,13.6,50.9,42.4,15.3,3.2,-14.0,11.2,-8.5,5.4,23.7%,16.7%,21.5%,9.9%,26.4%,15.4%,28.4%,13.4%
I86,Tchecar,Tchecar,"680, 11244, #134",,12.0,53.5,40.8,14.7,3.2,-13.9,10.8,-9.3,4.5,27.0%,16.0%,15.4%,9.2%,28.7%,15.2%,28.9%,13.8%
I95,Tchecar,Tchecar,"686, 11189, #146",,3.1,55.9,32.7,11.0,3.5,-17.8,9.0,-10.5,7.4,30.7%,19.0%,14.0%,8.6%,41.2%,17.3%,14.1%,10.6%
I80,Tchecar,Tchecar,687 (11.281) #128,,18.4,37.5,42.2,15.3,3.2,-14.4,12.2,-8.4,6.0,24.1%,14.6%,22.5%,10.9%,25.4%,13.3%,28.0%,13.8%
I93,Tchecar,Tchecar,"691, 11499, #144",M,18.4,50.2,42.6,15.2,3.3,-13.6,11.5,-8.1,5.5,24.2%,14.6%,25.0%,12.2%,21.4%,11.5%,29.4%,14.0%
I82,Tchecar,Tchecar,692 (11.123) #130,,17.8,40.6,42.7,15.4,3.2,-13.9,11.2,-8.1,5.8,26.3%,18.7%,25.7%,9.8%,29.7%,14.3%,18.2%,11.9%
I98,Tchecar,Tchecar,694 (11.141) #137,F,13.4,41.9,43.5,15.8,3.2,-13.6,11.6,-8.9,4.8,27.4%,16.9%,19.3%,10.0%,22.7%,14.0%,30.6%,14.4%
I85,Tchecar,Tchecar,"801, 11324, #133",,21.7,51.0,41.6,14.8,3.3,-13.6,12.2,-8.4,5.1,24.3%,13.9%,18.6%,9.3%,21.5%,14.2%,35.6%,12.9%
I83,Tchecar,Tchecar,814 (11.106) #131,M,17.6,44.2,43.4,15.6,3.3,-15.6,10.4,-9.6,6.0,23.6%,16.5%,15.8%,8.7%,36.9%,14.6%,23.7%,14.1%
I96,Tchecar,Tchecar,"815, 11307, #147",F,17.0,42.2,41.8,15.1,3.2,-14.1,11.2,-9.1,5.1,25.1%,16.4%,21.2%,9.7%,28.7%,15.8%,25.0%,17.5%
I97,Tchecar,Tchecar,824 (11.263) #138,,12.3,42.7,43.2,15.5,3.3,-13.2,10.9,-8.1,5.1,25.8%,15.4%,29.2%,11.8%,23.5%,14.2%,21.5%,14.5%
I91,Tchecar,Tchecar,"844, 11116, #141",,19.3,47.1,42.2,15.2,3.2,-10.3,11.6,-5.5,4.9,13.1%,9.2%,44.6%,13.1%,15.3%,11.2%,27.0%,14.2%
I78,Tchecar,Tchecar,"863, 11177, #142",F,19.7,39.4,41.3,15.1,3.2,-14.4,11.6,-8.2,6.2,27.6%,14.8%,25.6%,11.0%,21.8%,13.5%,25.0%,16.6%
